,precision,recall,f1-score
Component-Whole,0.802013422818792,0.7734627831715211,0.7874794069192752
Other,0.5,0.4174107142857143,0.45498783454987834
Instrument-Agency,0.7166666666666667,0.5695364238410596,0.6346863468634687
Member-Collection,0.7748091603053435,0.8864628820960698,0.8268839103869654
Cause-Effect,0.8296703296703297,0.934984520123839,0.8791848617176129
Entity-Destination,0.8947368421052632,0.8732876712328768,0.8838821490467937
Content-Container,0.7853881278538812,0.900523560209424,0.8390243902439023
Message-Topic,0.8421052631578947,0.735632183908046,0.7852760736196318
Product-Producer,0.6736111111111112,0.8699551569506726,0.7592954990215266
Entity-Origin,0.8155737704918032,0.7803921568627451,0.7975951903807615
